kind,minor_r_m,major_r_m,z_m,psi_norm,psi_wb
lcfs,1.6954225352e-01,2.0195422535e+00,8.3136612529e-01,1.0000000000e+00,2.1287019677e-01
lcfs,1.4693661972e-01,1.9969366197e+00,8.3137726439e-01,1.0000000000e+00,2.1287019677e-01
lcfs,1.2433098592e-01,1.9743309859e+00,8.3041273063e-01,1.0000000000e+00,2.1287019677e-01
lcfs,1.0172535211e-01,1.9517253521e+00,8.2848099261e-01,1.0000000000e+00,2.1287019677e-01
lcfs,7.9119718310e-02,1.9291197183e+00,8.2557345714e-01,1.0000000000e+00,2.1287019677e-01
lcfs,5.6514084507e-02,1.9065140845e+00,8.2166626601e-01,1.0000000000e+00,2.1287019677e-01
lcfs,3.6183992804e-02,1.8861839928e+00,8.1722763158e-01,1.0000000000e+00,2.1287019677e-01
lcfs,3.3908450704e-02,1.8839084507e+00,8.1677255702e-01,1.0000000000e+00,2.1287019677e-01
lcfs,1.1302816901e-02,1.8613028169e+00,8.1134424397e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-1.1302816901e-02,1.8386971831e+00,8.0486785166e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-3.3908450704e-02,1.8160915493e+00,7.9726583897e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-5.3836906793e-02,1.7961630932e+00,7.8952500000e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-5.6514084507e-02,1.7934859155e+00,7.8855107867e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-7.9119718310e-02,1.7708802817e+00,7.7937451338e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-1.0172535211e-01,1.7482746479e+00,7.6888647733e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-1.1535820018e-01,1.7346417998e+00,7.6182236842e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-1.2433098592e-01,1.7256690141e+00,7.5739430011e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-1.4693661972e-01,1.7030633803e+00,7.4508966613e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-1.6497434751e-01,1.6850256525e+00,7.3411973684e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-1.6954225352e-01,1.6804577465e+00,7.3144019429e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-1.9214788732e-01,1.6578521127e+00,7.1709705585e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-2.0741444443e-01,1.6425855556e+00,7.0641710526e-01,1.0000000000e+00,2.1287019677e-01
